Order ID,Customer ID,Order Date,Ship Date,Region,Segment,Category,Sub-Category,Product Name,Sales,Profit_Margin,Profit
ca-2017-101343,ra-19885,2017-07-17,2017-07-22,west,corporate,office supplies,storage,"eldon base for stackable storage shelf, platinum",77.88,0.25,19.47
ca-2018-139619,es-14080,2018-09-19,2018-09-23,south,corporate,office supplies,storage,"advantus 10-drawer portable organizer, chrome metal frame, smoke drawers",95.616,0.25,23.9
ca-2017-118255,on-18715,2017-03-11,2017-03-13,central,corporate,technology,accessories,"verbatim 25 gb 6x blu-ray single layer recordable disc, 25/pack",45.98,0.15,6.9
ca-2017-118255,on-18715,2017-03-11,2017-03-13,central,corporate,office supplies,binders,wilson jones leather-like binders with dubllock round rings,17.46,0.25,4.36
ca-2015-146703,po-18865,2015-10-20,2015-10-25,central,consumer,office supplies,storage,"gould plastics 9-pocket panel bin, 18-3/8w x 5-1/4d x 20-1/2h, black",211.96,0.25,52.99
ca-2017-169194,lh-16900,2017-06-20,2017-06-25,east,consumer,technology,accessories,imation 8gb micro traveldrive usb 2.0 flash drive,45.0,0.15,6.75
ca-2017-169194,lh-16900,2017-06-20,2017-06-25,east,consumer,technology,phones,"lf elite 3d dazzle designer hard case cover, lf stylus pen and wiper for apple iphone 5c mini lite",21.8,0.15,3.27
ca-2016-115742,dp-13000,2016-04-18,2016-04-22,central,consumer,office supplies,binders,"c-line peel & stick add-on filing pockets, 8-3/4 x 5-1/8, 10/pack",38.22,0.25,9.56
ca-2016-115742,dp-13000,2016-04-18,2016-04-22,central,consumer,office supplies,labels,avery 485,75.18,0.25,18.8
ca-2016-115742,dp-13000,2016-04-18,2016-04-22,central,consumer,furniture,furnishings,longer-life soft white bulbs,6.16,0.08,0.49
ca-2016-115742,dp-13000,2016-04-18,2016-04-22,central,consumer,furniture,chairs,"global leather task chair, black",89.99,0.08,7.2
ca-2017-105816,jm-15265,2017-12-11,2017-12-17,east,corporate,office supplies,fasteners,advantus push pins,15.26,0.25,3.82
ca-2017-105816,jm-15265,2017-12-11,2017-12-17,east,corporate,technology,phones,at&t cl83451 4-handset telephone,1029.95,0.15,154.49
ca-2017-111682,tb-21055,2017-06-17,2017-06-18,east,consumer,office supplies,storage,home/office personal file carts,208.56,0.25,52.14
ca-2017-111682,tb-21055,2017-06-17,2017-06-18,east,consumer,office supplies,paper,xerox 232,32.4,0.25,8.1
ca-2017-111682,tb-21055,2017-06-17,2017-06-18,east,consumer,furniture,chairs,novimex turbo task chair,319.41,0.08,25.55
ca-2017-111682,tb-21055,2017-06-17,2017-06-18,east,consumer,office supplies,paper,"array parchment paper, assorted colors",14.56,0.25,3.64
ca-2017-111682,tb-21055,2017-06-17,2017-06-18,east,consumer,technology,accessories,imation 8gb micro traveldrive usb 2.0 flash drive,30.0,0.15,4.5
ca-2017-111682,tb-21055,2017-06-17,2017-06-18,east,consumer,office supplies,binders,plastic binding combs,48.48,0.25,12.12
ca-2017-111682,tb-21055,2017-06-17,2017-06-18,east,consumer,office supplies,art,prang dustless chalk sticks,1.68,0.25,0.42
ca-2016-135545,km-16720,2016-11-24,2016-11-30,west,consumer,technology,accessories,"verbatim 25 gb 6x blu-ray single layer recordable disc, 3/pack",13.98,0.15,2.1
ca-2016-135545,km-16720,2016-11-24,2016-11-30,west,consumer,office supplies,binders,"acco presstex data binder with storage hooks, dark blue, 14 7/8"" x 11""",25.824,0.25,6.46
ca-2016-135545,km-16720,2016-11-24,2016-11-30,west,consumer,office supplies,paper,xerox 1943,146.73,0.25,36.68
ca-2016-135545,km-16720,2016-11-24,2016-11-30,west,consumer,furniture,furnishings,luxo economy swing arm lamp,79.76,0.08,6.38
us-2016-164175,ps-18970,2016-04-30,2016-05-05,central,home office,furniture,chairs,"global value mid-back manager's chair, gray",213.115,0.08,17.05
ca-2015-106376,bs-11590,2015-12-05,2015-12-10,west,corporate,office supplies,art,"hunt boston model 1606 high-volume electric pencil sharpener, beige",1113.024,0.25,278.26
ca-2015-106376,bs-11590,2015-12-05,2015-12-10,west,corporate,technology,phones,nettalk duo voip telephone service,167.968,0.15,25.2
ca-2017-119823,kd-16270,2017-06-04,2017-06-06,south,consumer,office supplies,paper,"snap-a-way black print carbonless ruled speed letter, triplicate",75.88,0.25,18.97
ca-2017-106075,hm-14980,2017-09-18,2017-09-23,east,consumer,office supplies,binders,avery binding system hidden tab executive style index sets,4.616,0.25,1.15
ca-2018-114440,tb-21520,2018-09-14,2018-09-17,central,consumer,office supplies,paper,"telephone message books with fax/mobile section, 5 1/2"" x 3 3/16""",19.05,0.25,4.76
us-2016-134026,je-15745,2016-04-26,2016-05-02,south,consumer,furniture,chairs,high-back leather manager's chair,831.936,0.08,66.55
us-2016-134026,je-15745,2016-04-26,2016-05-02,south,consumer,furniture,furnishings,"tenex traditional chairmats for medium pile carpet, standard lip, 36"" x 48""",97.04,0.08,7.76
us-2016-134026,je-15745,2016-04-26,2016-05-02,south,consumer,office supplies,storage,safco industrial wire shelving system,72.784,0.25,18.2
us-2018-118038,kb-16600,2018-12-09,2018-12-11,central,corporate,office supplies,binders,economy binders,1.248,0.25,0.31
us-2018-118038,kb-16600,2018-12-09,2018-12-11,central,corporate,furniture,furnishings,"6"" cubicle wall clock, black",9.708,0.08,0.78
us-2018-118038,kb-16600,2018-12-09,2018-12-11,central,corporate,office supplies,storage,"simplifile personal file, black granite, 15w x 6-15/16d x 11-1/4h",27.24,0.25,6.81
us-2015-147606,je-15745,2015-11-26,2015-12-01,central,consumer,furniture,furnishings,"eldon expressions desk accessory, wood pencil holder, oak",19.3,0.08,1.54
ca-2017-127208,sc-20770,2017-06-12,2017-06-15,south,corporate,office supplies,appliances,"1.7 cubic foot compact ""cube"" office refrigerators",208.16,0.25,52.04
ca-2017-127208,sc-20770,2017-06-12,2017-06-15,south,corporate,office supplies,binders,avery heavy-duty ezd  binder with locking rings,16.74,0.25,4.18
ca-2015-139451,dn-13690,2015-10-12,2015-10-16,west,consumer,office supplies,art,"premium writing pencils, soft, #2 by central association for the blind",14.9,0.25,3.72
ca-2015-139451,dn-13690,2015-10-12,2015-10-16,west,consumer,office supplies,storage,"sortfiler multipurpose personal file organizer, black",21.39,0.25,5.35
ca-2016-149734,jc-16105,2016-09-03,2016-09-08,south,corporate,office supplies,envelopes,jet-pak recycled peel 'n' seal padded mailers,200.984,0.25,50.25
us-2018-119662,cs-12400,2018-11-13,2018-11-16,central,home office,office supplies,storage,safco industrial wire shelving,230.376,0.25,57.59
ca-2018-140088,po-18865,2018-05-28,2018-05-30,south,consumer,furniture,chairs,novimex swivel fabric task chair,301.96,0.08,24.16
ca-2018-155558,pg-18895,2018-10-26,2018-11-02,central,consumer,technology,accessories,logitech ls21 speaker system - pc multimedia - 2.1-ch - wired,19.99,0.15,3.0
ca-2018-155558,pg-18895,2018-10-26,2018-11-02,central,consumer,office supplies,labels,avery 511,6.16,0.25,1.54
ca-2017-159695,gm-14455,2017-04-05,2017-04-10,central,home office,office supplies,storage,eldon portable mobile manager,158.368,0.25,39.59
ca-2017-109806,js-15685,2017-09-17,2017-09-22,west,corporate,office supplies,art,turquoise lead holder with pocket clip,20.1,0.25,5.03
ca-2017-109806,js-15685,2017-09-17,2017-09-22,west,corporate,technology,phones,panasonic kx-ts550,73.584,0.15,11.04
ca-2017-109806,js-15685,2017-09-17,2017-09-22,west,corporate,office supplies,paper,xerox 1995,6.48,0.25,1.62
ca-2016-149587,kb-16315,2016-01-31,2016-02-05,central,consumer,office supplies,paper,xerox 1999,12.96,0.25,3.24
ca-2016-149587,kb-16315,2016-01-31,2016-02-05,central,consumer,furniture,furnishings,"seth thomas 13 1/2"" wall clock",53.34,0.08,4.27
ca-2016-149587,kb-16315,2016-01-31,2016-02-05,central,consumer,office supplies,binders,ibico standard transparent covers,32.96,0.25,8.24
us-2018-109484,rb-19705,2018-11-06,2018-11-12,west,home office,office supplies,binders,flexible leather- look classic collection ring binder,5.682,0.25,1.42
ca-2018-161018,pn-18775,2018-11-09,2018-11-11,east,home office,furniture,furnishings,9-3/4 diameter round wall clock,96.53,0.08,7.72
ca-2018-157833,kd-16345,2018-06-17,2018-06-20,west,consumer,office supplies,binders,trimflex flexible post binders,51.312,0.25,12.83
ca-2017-149223,er-13855,2017-09-06,2017-09-11,central,corporate,office supplies,appliances,fellowes basic home/office series surge protectors,77.88,0.25,19.47
ca-2017-158568,rb-19465,2017-08-29,2017-09-02,central,home office,office supplies,paper,avery personal creations heavyweight cards,64.624,0.25,16.16
ca-2017-158568,rb-19465,2017-08-29,2017-09-02,central,home office,technology,accessories,sandisk ultra 64 gb microsdhc class 10 memory card,95.976,0.15,14.4
ca-2017-158568,rb-19465,2017-08-29,2017-09-02,central,home office,office supplies,binders,avery hidden tab dividers for binding systems,1.788,0.25,0.45
ca-2017-129903,gz-14470,2017-12-01,2017-12-04,central,consumer,office supplies,paper,universal premium white copier/laser paper (20lb. and 87 bright),23.92,0.25,5.98
us-2016-156867,lc-16870,2016-11-13,2016-11-17,west,consumer,technology,accessories,logitech k350 2.4ghz wireless keyboard,238.896,0.15,35.83
us-2016-156867,lc-16870,2016-11-13,2016-11-17,west,consumer,furniture,furnishings,"deflect-o duramat lighweight, studded, beveled mat for low pile carpeting",102.36,0.08,8.19
us-2016-156867,lc-16870,2016-11-13,2016-11-17,west,consumer,office supplies,binders,"avery trapezoid ring binder, 3"" capacity, black, 1040 sheets",36.882,0.25,9.22
ca-2018-119004,jm-15250,2018-11-23,2018-11-28,south,consumer,technology,accessories,memorex mini travel drive 8 gb usb 2.0 flash drive,74.112,0.15,11.12
ca-2018-119004,jm-15250,2018-11-23,2018-11-28,south,consumer,technology,phones,speck products candyshell flip case,27.992,0.15,4.2
ca-2018-119004,jm-15250,2018-11-23,2018-11-28,south,consumer,office supplies,art,newell chalk holder,3.304,0.25,0.83
ca-2016-129476,pa-19060,2016-10-15,2016-10-20,central,home office,technology,accessories,logitech gaming g510s - keyboard,339.96,0.15,50.99
ca-2018-146780,cv-12805,2018-12-25,2018-12-30,east,corporate,furniture,furnishings,magnifier swing arm lamp,41.96,0.08,3.36
ca-2017-128867,cl-12565,2017-11-03,2017-11-10,central,consumer,office supplies,art,"hunt powerhouse electric pencil sharpener, blue",75.96,0.25,18.99
ca-2017-128867,cl-12565,2017-11-03,2017-11-10,central,consumer,office supplies,binders,"avery durable plastic 1"" binders",27.24,0.25,6.81
ca-2015-115259,rc-19960,2015-08-25,2015-08-27,east,consumer,office supplies,fasteners,"oic colored binder clips, assorted sizes",40.096,0.25,10.02
ca-2015-115259,rc-19960,2015-08-25,2015-08-27,east,consumer,office supplies,envelopes,"redi-strip #10 envelopes, 4 1/8 x 9 1/2",4.72,0.25,1.18
ca-2015-115259,rc-19960,2015-08-25,2015-08-27,east,consumer,office supplies,paper,xerox 1921,23.976,0.25,5.99
ca-2015-115259,rc-19960,2015-08-25,2015-08-27,east,consumer,office supplies,envelopes,"tyvek  top-opening peel & seel envelopes, plain white",130.464,0.25,32.62
ca-2016-110457,dk-13090,2016-03-02,2016-03-06,west,consumer,furniture,tables,hon racetrack conference tables,787.53,0.08,63.0
us-2016-136476,gg-14650,2016-04-05,2016-04-10,south,corporate,office supplies,binders,gbc docubind 300 electric binding machine,157.794,0.25,39.45
ca-2017-103730,sc-20725,2017-06-12,2017-06-15,east,consumer,furniture,furnishings,artistic insta-plaque,47.04,0.08,3.76
ca-2017-103730,sc-20725,2017-06-12,2017-06-15,east,consumer,office supplies,binders,dxl angle-view binders with locking rings by samsill,30.84,0.25,7.71
ca-2017-103730,sc-20725,2017-06-12,2017-06-15,east,consumer,office supplies,storage,"companion letter/legal file, black",226.56,0.25,56.64
ca-2017-103730,sc-20725,2017-06-12,2017-06-15,east,consumer,office supplies,envelopes,globe weis peel & seel first class envelopes,115.02,0.25,28.76
ca-2017-103730,sc-20725,2017-06-12,2017-06-15,east,consumer,technology,phones,kld oscar ii style snap-on ultra thin side flip synthetic leather cover case for htc one htc m7,68.04,0.15,10.21
us-2015-152030,ad-10180,2015-12-26,2015-12-28,central,home office,furniture,chairs,global deluxe high-back manager's chair,600.558,0.08,48.04
us-2015-134614,pf-19165,2015-09-20,2015-09-25,central,consumer,furniture,tables,bevis 44 x 96 conference tables,617.7,0.08,49.42
us-2018-107272,ts-21610,2018-11-05,2018-11-12,west,consumer,office supplies,binders,"avery durable slant ring binders, no labels",2.388,0.25,0.6
us-2018-107272,ts-21610,2018-11-05,2018-11-12,west,consumer,office supplies,storage,"trav-l-file heavy-duty shuttle ii, black",243.992,0.25,61.0
us-2017-125969,ls-16975,2017-11-06,2017-11-10,west,home office,furniture,chairs,"global task chair, black",81.424,0.08,6.51
us-2017-125969,ls-16975,2017-11-06,2017-11-10,west,home office,furniture,furnishings,eldon cleatmat plus chair mats for high pile carpets,238.56,0.08,19.08
us-2018-164147,dw-13585,2018-02-02,2018-02-05,east,corporate,technology,phones,anker 36w 4-port usb wall charger travel power adapter for iphone 5s 5c 5,59.97,0.15,9.0
us-2018-164147,dw-13585,2018-02-02,2018-02-05,east,corporate,office supplies,paper,xerox 1916,78.304,0.25,19.58
us-2018-164147,dw-13585,2018-02-02,2018-02-05,east,corporate,office supplies,fasteners,staples,21.456,0.25,5.36
ca-2017-145583,lc-16885,2017-10-13,2017-10-19,west,consumer,office supplies,paper,xerox 195,20.04,0.25,5.01
ca-2017-145583,lc-16885,2017-10-13,2017-10-19,west,consumer,office supplies,paper,xerox 1880,35.44,0.25,8.86
ca-2017-145583,lc-16885,2017-10-13,2017-10-19,west,consumer,office supplies,art,"sanford colorific colored pencils, 12/box",11.52,0.25,2.88
ca-2017-145583,lc-16885,2017-10-13,2017-10-19,west,consumer,office supplies,fasteners,ideal clamps,4.02,0.25,1.0
ca-2017-145583,lc-16885,2017-10-13,2017-10-19,west,consumer,office supplies,binders,gbc wire binding strips,76.176,0.25,19.04
ca-2017-145583,lc-16885,2017-10-13,2017-10-19,west,consumer,office supplies,supplies,fiskars softgrip scissors,65.88,0.25,16.47
ca-2017-145583,lc-16885,2017-10-13,2017-10-19,west,consumer,furniture,furnishings,longer-life soft white bulbs,43.12,0.08,3.45
ca-2017-110366,jd-15895,2017-09-05,2017-09-07,east,corporate,furniture,furnishings,"howard miller 13-3/4"" diameter brushed chrome round wall clock",82.8,0.08,6.62
ca-2018-106180,sh-19975,2018-09-18,2018-09-23,west,corporate,office supplies,art,newell 343,8.82,0.25,2.2
ca-2018-106180,sh-19975,2018-09-18,2018-09-23,west,corporate,office supplies,envelopes,convenience packs of business envelopes,10.86,0.25,2.72
ca-2018-106180,sh-19975,2018-09-18,2018-09-23,west,corporate,office supplies,paper,xerox 1911,143.7,0.25,35.92
ca-2018-155376,sg-20080,2018-12-22,2018-12-27,central,consumer,office supplies,appliances,sanyo 2.5 cubic foot mid-size office refrigerators,839.43,0.25,209.86
ca-2016-110744,ha-14920,2016-09-07,2016-09-12,west,consumer,office supplies,storage,safco industrial wire shelving,671.93,0.25,167.98
ca-2015-110072,mg-17680,2015-10-22,2015-10-28,east,home office,furniture,furnishings,"seth thomas 14"" putty-colored wall clock",93.888,0.08,7.51
ca-2017-114489,je-16165,2017-12-05,2017-12-09,central,corporate,technology,phones,plantronics cordless phone headset with in-line volume - m214c,384.45,0.15,57.67
ca-2017-114489,je-16165,2017-12-05,2017-12-09,central,corporate,technology,phones,anker astro 15000mah usb portable charger,149.97,0.15,22.5
ca-2017-114489,je-16165,2017-12-05,2017-12-09,central,corporate,furniture,chairs,"hon deluxe fabric upholstered stacking chairs, rounded back",1951.84,0.08,156.15
ca-2017-114489,je-16165,2017-12-05,2017-12-09,central,corporate,office supplies,binders,gbc prestige therm-a-bind covers,171.55,0.25,42.89
ca-2017-158834,tw-21025,2017-03-13,2017-03-16,west,home office,office supplies,appliances,belkin 7 outlet surgemaster surge protector with phone protection,157.92,0.25,39.48
ca-2017-158834,tw-21025,2017-03-13,2017-03-16,west,home office,technology,phones,jabra biz 2300 duo qd duo corded headset,203.184,0.15,30.48
ca-2016-124919,sp-20650,2016-05-31,2016-06-02,west,corporate,office supplies,paper,southworth 25% cotton antique laid paper & envelopes,58.38,0.25,14.6
ca-2016-124919,sp-20650,2016-05-31,2016-06-02,west,corporate,office supplies,paper,xerox 1883,105.52,0.25,26.38
ca-2016-124919,sp-20650,2016-05-31,2016-06-02,west,corporate,office supplies,storage,"tenex personal project file with scoop front design, black",80.88,0.25,20.22
ca-2016-118948,nk-18490,2016-05-28,2016-06-03,west,home office,office supplies,art,newell 311,6.63,0.25,1.66
ca-2015-104269,db-13060,2015-03-01,2015-03-06,west,consumer,furniture,chairs,global deluxe high-back manager's chair,457.568,0.08,36.61
ca-2017-114104,np-18670,2017-11-20,2017-11-24,central,consumer,office supplies,labels,avery 519,14.62,0.25,3.66
ca-2017-114104,np-18670,2017-11-20,2017-11-24,central,consumer,technology,phones,avaya 5420 digital phone,944.93,0.15,141.74
ca-2017-162733,tt-21070,2017-05-11,2017-05-12,west,consumer,office supplies,paper,xerox 1920,5.98,0.25,1.5
ca-2016-119697,em-13960,2016-12-28,2016-12-31,east,consumer,technology,accessories,lenovo 17-key usb numeric keypad,54.384,0.15,8.16
ca-2017-154508,rd-19900,2017-11-16,2017-11-20,west,consumer,office supplies,envelopes,staple envelope,28.4,0.25,7.1
ca-2017-113817,mj-17740,2017-11-07,2017-11-11,west,consumer,office supplies,binders,wilson jones international size a4 ring binders,27.68,0.25,6.92
ca-2015-139892,bm-11140,2015-09-08,2015-09-12,central,consumer,office supplies,art,bic brite liner highlighters,9.936,0.25,2.48
ca-2015-139892,bm-11140,2015-09-08,2015-09-12,central,consumer,technology,machines,lexmark mx611dhe monochrome laser printer,8159.952,0.15,1223.99
ca-2015-139892,bm-11140,2015-09-08,2015-09-12,central,consumer,office supplies,storage,space solutions hd industrial steel shelving.,275.928,0.25,68.98
ca-2015-139892,bm-11140,2015-09-08,2015-09-12,central,consumer,furniture,chairs,safco arco folding chair,1740.06,0.08,139.2
ca-2015-139892,bm-11140,2015-09-08,2015-09-12,central,consumer,office supplies,art,sanford liquid accent highlighters,32.064,0.25,8.02
ca-2015-139892,bm-11140,2015-09-08,2015-09-12,central,consumer,office supplies,appliances,kensington 7 outlet masterpiece power center,177.98,0.25,44.5
ca-2015-139892,bm-11140,2015-09-08,2015-09-12,central,consumer,technology,phones,jbl micro wireless portable bluetooth speaker,143.976,0.15,21.6
ca-2015-118962,cs-12130,2015-08-05,2015-08-09,west,consumer,office supplies,paper,"adams phone message book, professional, 400 message capacity, 5 3/6” x 11”",20.94,0.25,5.24
ca-2015-118962,cs-12130,2015-08-05,2015-08-09,west,consumer,office supplies,paper,xerox 1913,110.96,0.25,27.74
ca-2015-118962,cs-12130,2015-08-05,2015-08-09,west,consumer,furniture,chairs,"global value steno chair, gray",340.144,0.08,27.21
us-2015-100853,jb-15400,2015-09-14,2015-09-19,central,corporate,office supplies,appliances,kensington 7 outlet masterpiece homeoffice power control center,52.448,0.25,13.11
us-2015-100853,jb-15400,2015-09-14,2015-09-19,central,corporate,office supplies,labels,avery 51,20.16,0.25,5.04
us-2018-152366,sj-20500,2018-04-21,2018-04-25,central,consumer,office supplies,appliances,"acco 7-outlet masterpiece power center, wihtout fax/phone line protection",97.264,0.25,24.32
us-2016-101511,je-15745,2016-11-21,2016-11-23,east,consumer,furniture,chairs,"padded folding chairs, black, 4/carton",396.802,0.08,31.74
us-2016-101511,je-15745,2016-11-21,2016-11-23,east,consumer,office supplies,supplies,acme rosewood handle letter opener,15.88,0.25,3.97
ca-2016-137225,jk-15640,2016-12-15,2016-12-19,east,home office,office supplies,art,"sanford colorific eraseable coloring pencils, 12 count",3.28,0.25,0.82
ca-2015-166191,dk-13150,2015-12-05,2015-12-09,central,corporate,office supplies,storage,"tenex file box, personal filing tote with lid, black",24.816,0.25,6.2
ca-2015-166191,dk-13150,2015-12-05,2015-12-09,central,corporate,technology,accessories,imation secure+ hardware encrypted usb 2.0 flash drive; 16gb,408.744,0.15,61.31
ca-2015-158274,rm-19675,2015-11-19,2015-11-24,south,home office,technology,phones,at&t tr1909w,503.96,0.15,75.59
ca-2015-158274,rm-19675,2015-11-19,2015-11-24,south,home office,technology,phones,nokia lumia 521 (t-mobile),149.95,0.15,22.49
ca-2015-158274,rm-19675,2015-11-19,2015-11-24,south,home office,technology,accessories,hp standard 104 key ps/2 keyboard,29.0,0.15,4.35
ca-2017-105018,sk-19990,2017-11-28,2017-12-02,east,consumer,office supplies,binders,avery poly binder pockets,7.16,0.25,1.79
ca-2015-123260,fm-14290,2015-08-26,2015-08-30,west,home office,technology,accessories,sandisk ultra 32 gb microsdhc class 10 memory card,176.8,0.15,26.52
ca-2017-157000,am-10360,2017-07-16,2017-07-22,central,corporate,office supplies,storage,"personal filing tote with lid, black/gray",37.224,0.25,9.31
ca-2017-157000,am-10360,2017-07-16,2017-07-22,central,corporate,office supplies,paper,southworth 25% cotton antique laid paper & envelopes,20.016,0.25,5.0
ca-2016-102281,mp-17470,2016-10-12,2016-10-14,east,home office,furniture,bookcases,"atlantic metals mobile 4-shelf bookcases, custom colors",899.136,0.08,71.93
ca-2016-102281,mp-17470,2016-10-12,2016-10-14,east,home office,technology,phones,i need's 3d hello kitty hybrid silicone case cover for htc one x 4g with 3d hello kitty stylus pen green/pink,71.76,0.15,10.76
ca-2016-102281,mp-17470,2016-10-12,2016-10-14,east,home office,office supplies,paper,xerox 205,51.84,0.25,12.96
ca-2016-102281,mp-17470,2016-10-12,2016-10-14,east,home office,furniture,bookcases,"atlantic metals mobile 3-shelf bookcases, custom colors",626.352,0.08,50.11
